觀測時間  (LST)  ObsTime,測站氣壓  (hPa)  StnPres,海平面氣壓  (hPa)  SeaPres,氣溫  (℃)  Temperature,露點溫度  (℃)  Td dew point,相對溼度  (%)  RH,風速  (m/s)  WS,風向  (360degree)  WD,最大陣風  (m/s)  WSGust,最大陣風風向  (360degree)  WDGust,全天空日射量  (MJ/㎡)  GloblRad,積溫,成長百分比
16-12-25 12時,1016.2,1019,26.5,17.7,58,4.3,40,11.1,40,2.38,298.09792,0.21113
16-12-25 13時,1015.1,1017.9,26.4,17.6,58,3.5,50,17.3,30,2.27,298.59792,0.21145
16-12-25 14時,1014,1016.8,26.5,17.7,58,2.7,40,8.8,50,1.87,299.10208,0.21177
16-12-25 15時,1013.6,1016.4,26.2,17.1,57,2.8,50,14.6,20,1.46,299.58750,0.21209
16-12-25 16時,1013.4,1016.2,25.7,16.8,58,4.2,50,12.4,30,0.95,300.05625,0.21241
16-12-25 17時,1013.9,1016.7,24.8,17,62,4.6,70,11.6,70,0.31,300.51042,0.21273
16-12-25 18時,1014,1016.8,24.5,17.5,65,4.3,50,12.4,30,0,300.96875,0.21305
16-12-25 19時,1014.5,1017.3,24.2,17.3,65,3.9,60,10,70,0,301.41667,0.21337
16-12-25 20時,1015,1017.8,24.2,17.1,65,4.3,70,10.4,80,0,301.86042,0.21369
16-12-25 21時,1015.2,1018,24.3,17.7,67,2.2,70,9.4,50,0,302.31875,0.21401
16-12-25 22時,1015.2,1018,24.3,17.8,67,3.8,50,10.9,40,0,302.77917,0.21433
16-12-25 23時,1014.8,1017.6,24.2,17.6,67,5.5,60,12.2,70,0,303.23333,0.21465
16-12-26 0時,1014.6,1017.4,24,17.6,67,3.4,50,11.6,60,0,303.68333,0.21497
16-12-26 1時,1014.3,1017.1,24.3,17.6,66,4.1,60,9.4,50,0,304.13958,0.21529
16-12-26 2時,1014.2,1017,23.9,18.2,70,3.9,40,8.3,30,0,304.60000,0.21561
16-12-26 3時,1013.9,1016.7,23.5,18,71,4,40,8.5,10,0,305.04792,0.21593
16-12-26 4時,1013.7,1016.5,23.4,18,72,4,40,11.6,40,0,305.49375,0.21625
16-12-26 5時,1013.8,1016.6,23.1,17.8,72,3.4,20,10.7,50,0,305.92917,0.21657
16-12-26 6時,1014.1,1016.9,23.3,17.6,70,3.3,30,9.4,50,0,306.36458,0.21689
16-12-26 7時,1014.5,1017.3,23.5,17.8,70,4,20,8.7,350,0,306.80833,0.21721
16-12-26 8時,1014.8,1017.6,24.5,17.6,65,3.9,40,9.9,70,0.33,307.26875,0.21753
16-12-26 9時,1014.9,1017.7,25.7,17.5,61,4,50,9.8,50,1,307.75208,0.21785
16-12-26 10時,1014.5,1017.3,26.4,17.9,60,3.5,30,8.9,10,1.64,308.25833,0.21817
16-12-26 11時,1014.1,1016.9,27.6,18.5,58,3,90,9.2,10,2.17,308.80208,0.21849
16-12-26 12時,1013.2,1016,27.7,18.9,59,3.5,20,8.4,30,2.4,309.35625,0.21881
16-12-26 13時,1012,1014.8,27.6,17.7,55,4.9,20,11.7,10,2.25,309.88333,0.21913
16-12-26 14時,1011.3,1014.1,27.7,18.7,58,4,20,10.2,20,2.01,310.43333,0.21945
16-12-26 15時,1010.8,1013.6,27.1,18.7,60,3.5,20,8.9,20,1.59,310.97083,0.21977
16-12-26 16時,1010.9,1013.7,26.2,18.8,64,3.9,30,9,20,1.03,311.49167,0.22009
16-12-26 17時,1011.6,1014.4,25.2,18.8,68,2.6,60,6.5,20,0.12,311.99167,0.22041
16-12-26 18時,1011.7,1014.5,24.8,18.6,68,1.1,70,5.6,30,0,312.47917,0.22073
16-12-26 19時,1012.1,1014.9,24.8,18.5,68,1.5,40,4,10,0,312.96458,0.22105
16-12-26 20時,1012.8,1015.6,25.2,17.9,64,2.4,20,8.9,360,0,313.44583,0.22137
16-12-26 21時,1013.1,1015.9,24.9,18.2,66,3.7,10,9.1,40,0,313.92708,0.22169
16-12-26 22時,1012.7,1015.5,25.1,17.6,63,2,350,7.7,20,0,314.40000,0.22201
16-12-26 23時,1012.4,1015.2,25.1,17,61,3,350,7.6,40,0,314.86042,0.22233
16-12-27 0時,1012.6,1015.4,25.4,15.4,54,0.3,260,8.4,350,0,315.29375,0.22265
16-12-27 1時,1012.7,1015.5,24.9,17,62,1.5,40,4.6,100,0,315.75000,0.22297
16-12-27 2時,1012.3,1015.1,24.8,17.3,63,2.1,20,7.5,20,0,316.21042,0.22329
16-12-27 3時,1012.1,1014.9,24.7,17.9,66,2.8,10,6.2,70,0,316.68125,0.22361
16-12-27 4時,1011.8,1014.6,24.7,18.8,70,1.3,V,7.2,20,0,317.17083,0.22393
16-12-27 5時,1011.9,1014.7,24.6,17.7,65,2,350,7.9,20,0,317.63542,0.22425
16-12-27 6時,1012.1,1014.9,24.8,17.9,66,3.4,20,8.4,40,0,318.10833,0.22457
16-12-27 7時,1012.3,1015.1,25,17.7,64,5,30,12.6,360,0,318.58125,0.22489
16-12-27 8時,1013,1015.8,25.4,17.7,62,4.1,30,10,10,0,319.06250,0.22521
16-12-27 9時,1013.6,1016.4,25.6,17.4,61,4.4,30,12.1,10,0.53,319.54167,0.22553
16-12-27 10時,1014,1016.8,25.3,18.9,68,6.5,40,15.3,30,0.67,320.04583,0.22585
16-12-27 11時,1013.4,1016.2,24.5,18,67,7.5,50,19.5,40,0.69,320.51458,0.22617
16-12-27 12時,1012.2,1015,23.8,17.4,67,10,50,24.9,50,0.6,320.95625,0.22649
16-12-27 13時,1011.8,1014.6,22.4,17.1,72,8.9,40,23,60,0.6,321.36250,0.22681
16-12-27 14時,1011.3,1014.1,22.1,16.6,71,7.9,40,21.8,70,0.59,321.75208,0.22713
16-12-27 15時,1011.4,1014.2,21,16.5,75,8,40,21.7,60,0.46,322.11667,0.22745
16-12-27 16時,1011.9,1014.7,20.6,16.4,77,8.1,30,20,50,0.02,322.47083,0.22777
16-12-27 17時,1012.8,1015.6,20.6,15,70,8.8,40,19.5,50,0,322.79583,0.22809
16-12-27 18時,1013.6,1016.4,20.5,15.3,72,10.3,40,22.9,60,0,323.12500,0.22841
16-12-27 19時,1014.4,1017.3,19.7,15.5,77,7.9,40,26.3,70,0,323.44167,0.22873
16-12-27 20時,1014.8,1017.6,20.1,14.7,71,11.3,50,24.1,40,0,323.75000,0.22905
16-12-27 21時,1015.1,1018,20,14.4,70,9.1,50,24.3,50,0,324.05000,0.22937
16-12-27 22時,1014.8,1017.7,19.9,13.9,68,9.6,50,23.2,50,0,324.33750,0.22969
16-12-27 23時,1015,1017.9,20,13.9,68,8.2,50,27,40,0,324.62708,0.23001
16-12-28 0時,1014.9,1017.8,19.8,13.6,67,9,50,22.2,40,0,324.90625,0.23033
16-12-28 1時,1015,1017.9,19.2,12.9,67,10.4,50,25.1,20,0,325.15833,0.23065
16-12-28 2時,1015,1017.9,19.2,12.8,66,8.4,50,23.8,40,0,325.40833,0.23097
16-12-28 3時,1014.2,1017.1,19.2,12.4,65,8.7,50,20.1,40,0,325.65000,0.23129
16-12-28 4時,1013.9,1016.8,18.8,12.5,67,8.5,50,24.1,40,0,325.88542,0.23161
16-12-28 5時,1014.2,1017.1,19.2,12.1,63,8.6,50,19.7,60,0,326.12083,0.23193
16-12-28 6時,1014.9,1017.8,19.1,11.9,63,9.4,50,21.6,60,0,326.35000,0.23225
16-12-28 7時,1015.8,1018.7,19.2,11.9,63,8.6,50,21.3,50,0,326.58125,0.23257
16-12-28 8時,1016.4,1019.3,18.7,12.3,66,9.1,50,19.6,50,0,326.81042,0.23289
16-12-28 9時,1016.6,1019.5,18.8,12.6,67,9.2,40,24.9,40,0.2,327.04792,0.23321
16-12-28 10時,1016.8,1019.7,19.5,12.6,64,9.5,50,22.6,50,0.62,327.30000,0.23353
16-12-28 11時,1016.5,1019.4,19.7,12.5,63,8.3,40,22.3,30,0.65,327.55417,0.23385
16-12-28 12時,1016.3,1019.2,20,12.7,63,8.2,40,23,20,0.64,327.81875,0.23416
16-12-28 13時,1015.7,1018.6,19.7,12.9,65,8.6,40,19.7,20,0.63,328.08125,0.23448
16-12-28 14時,1016,1018.9,19.4,13.2,67,7.4,40,19.1,20,0.5,328.34375,0.23480
16-12-28 15時,1016.6,1019.5,18.9,14.4,75,2.4,30,15.6,40,0.06,328.62083,0.23512
16-12-28 16時,1016.7,1019.6,19.3,13.7,70,3.5,40,9.7,80,0,328.89167,0.23544
16-12-28 17時,1017.1,1020,19.3,13.5,69,5.1,40,10.4,30,0,329.15833,0.23576
16-12-28 18時,1017.4,1020.3,18.8,13.4,71,6.1,40,14.8,10,0,329.41250,0.23608
16-12-28 19時,1017.6,1020.5,19.2,13.1,68,7.7,40,16.5,10,0,329.66875,0.23640
16-12-28 20時,1017.4,1020.3,19.4,13.1,67,6.3,40,18.1,40,0,329.92917,0.23672
16-12-28 21時,1018.3,1021.2,19.8,13.2,66,6,30,16.6,20,0,330.20000,0.23704
16-12-28 22時,1018.4,1021.3,19.5,13.7,69,7.3,30,16.1,10,0,330.47500,0.23736
16-12-28 23時,1018.5,1021.4,19.7,13.7,68,8,30,17.1,30,0,330.75417,0.23768
16-12-29 0時,1018.3,1021.2,19.6,13.6,68,6.3,20,16.4,20,0,331.02917,0.23800
16-12-29 1時,1018.1,1021,19.6,13.5,68,6.5,20,15.4,30,0,331.30208,0.23832
16-12-29 2時,1017.6,1020.5,19.8,13.8,68,6.2,30,15.8,40,0,331.58542,0.23864
16-12-29 3時,1017.6,1020.5,18.9,14.3,75,7.2,30,14.9,10,0,331.86042,0.23896
16-12-29 4時,1017.9,1020.8,19.2,14.6,75,3.9,20,14.9,50,0,332.14792,0.23928
16-12-29 5時,1017.3,1020.2,19.1,14.6,75,4.8,30,13.3,30,0,332.43333,0.23960
16-12-29 6時,1016.8,1019.7,19.9,14.2,70,8.9,30,17.7,30,0,332.72708,0.23992
16-12-29 7時,1017.4,1020.3,20.2,13.7,66,8.4,40,18.5,60,0,333.01667,0.24024
16-12-29 8時,1018.4,1021.3,20.9,14.1,65,9.9,40,22.2,50,0,333.32917,0.24056
16-12-29 9時,1019.2,1022.1,20.8,14.4,67,9.3,50,21.7,50,0,333.64583,0.24088
16-12-29 10時,1019.5,1022.4,20.8,15,69,9.3,50,24,50,0.4,333.97500,0.24120
16-12-29 11時,1019.2,1022.1,21,14.5,66,8.4,50,21.5,40,0.26,334.29792,0.24152
16-12-29 12時,1018.9,1021.7,21.2,14,63,10.3,50,21.4,50,0.6,334.61458,0.24184
16-12-29 13時,1018.1,1020.9,21.5,14.5,64,9.5,50,21.5,70,0.97,334.94792,0.24216
16-12-29 14時,1017.1,1019.9,21.6,14.3,63,10,50,21.1,40,1,335.27917,0.24248
16-12-29 15時,1016.9,1019.7,21.5,14.4,64,9.8,40,21.2,50,0.6,335.61042,0.24280
16-12-29 16時,1016.3,1019.1,21.2,14.2,64,9.7,40,20.7,50,0.6,335.93125,0.24312
16-12-29 17時,1016.6,1019.4,20.9,13.8,64,11.6,50,24.1,50,0.01,336.23750,0.24344
16-12-29 18時,1017,1019.9,20.5,13.8,65,8.8,50,22.6,50,0,336.53542,0.24376
16-12-29 19時,1017.9,1020.8,20.6,12.7,61,11.2,40,24.2,40,0,336.81250,0.24408
16-12-29 20時,1018.1,1021,20.5,13.5,64,10.1,50,24.6,20,0,337.10417,0.24440
16-12-29 21時,1018.5,1021.4,20.9,13.5,63,9.7,50,22.4,70,0,337.40417,0.24472
16-12-29 22時,1018.7,1021.6,20.2,13.2,64,12.3,50,24.5,60,0,337.68333,0.24504
16-12-29 23時,1018.9,1021.8,20.2,13,63,11.6,40,25.5,40,0,337.95833,0.24536
16-12-30 0時,1019,1021.9,20.6,12.3,59,10.3,50,22.4,30,0,338.22708,0.24568
16-12-30 1時,1018.4,1021.3,20.5,12.4,60,10,50,22.7,50,0,338.49583,0.24600
16-12-30 2時,1018.3,1021.2,20.6,12.5,60,9.2,50,23.3,40,0,338.76875,0.24632
16-12-30 3時,1017.5,1020.4,20.7,12.7,60,10.3,50,23.3,10,0,339.04792,0.24664
16-12-30 4時,1017.4,1020.2,20.8,13.1,61,8.6,50,23.8,20,0,339.33750,0.24696
16-12-30 5時,1017.9,1020.7,21.1,13.2,61,8.9,40,21,20,0,339.63542,0.24728
16-12-30 6時,1018.2,1021.1,20.6,13.8,65,8.4,50,21.6,40,0,339.93542,0.24760
16-12-30 7時,1018.6,1021.5,20.7,13.8,65,10.3,50,22.2,50,0,340.23750,0.24792
16-12-30 8時,1019.2,1022.1,21.1,13.5,62,9.8,50,22.4,30,0,340.54167,0.24824
16-12-30 9時,1019.6,1022.5,21.2,14,63,11.2,50,22.7,40,0.51,340.85833,0.24856
16-12-30 10時,1019.8,1022.7,21.3,14.1,64,9.8,50,25,60,0.6,341.17917,0.24888
16-12-30 11時,1019.9,1022.7,21.6,14.8,65,8.7,50,22.6,60,0.6,341.52083,0.24920
16-12-30 12時,1019.6,1022.4,21.9,14.6,63,9.2,50,19.9,30,0.89,341.86458,0.24952
16-12-30 13時,1019.5,1022.3,21.8,14.8,64,6.7,40,17.6,50,1.23,342.21042,0.24984
16-12-30 14時,1018.8,1021.6,21.4,15.9,71,7.2,50,17.2,50,0.78,342.57083,0.25016
16-12-30 15時,1018.4,1021.2,21.5,14.8,66,8.5,50,17.2,50,0.6,342.91042,0.25048
16-12-30 16時,1018.3,1021.1,21.8,15.6,68,7.8,50,16.6,40,0.54,343.27292,0.25080
16-12-30 17時,1018.5,1021.3,21.8,14.7,64,8.4,40,18,10,0.13,343.61667,0.25112
16-12-30 18時,1019.2,1022,21.9,14.8,64,8,40,16.3,70,0,343.96458,0.25144
16-12-30 19時,1019.6,1022.4,22,15.1,65,7,50,17,30,0,344.32083,0.25176
16-12-30 20時,1020.1,1023,21.4,15.5,69,7.2,40,18.1,40,0,344.67292,0.25208
16-12-30 21時,1020.1,1022.9,21.7,15.7,69,6.8,50,14.1,60,0,345.03542,0.25240
16-12-30 22時,1020.2,1023,21.7,15.5,68,7.6,50,19.9,40,0,345.39375,0.25272
16-12-30 23時,1019.8,1022.6,21.8,15.4,67,8.9,50,19,60,0,345.75208,0.25304
16-12-31 0時,1019.3,1022.1,22,14.6,63,7.8,40,19.7,50,0,346.09792,0.25336
16-12-31 1時,1018.8,1021.6,22.3,14.2,60,7.1,40,17.5,20,0,346.44167,0.25368
16-12-31 2時,1018.6,1021.4,22.1,15.3,65,7.4,50,17.9,40,0,346.80417,0.25400
16-12-31 3時,1018.4,1021.2,22.1,15.7,67,6.6,50,14.9,60,0,347.17500,0.25432
16-12-31 4時,1018.2,1021,22,15.8,68,4.5,50,15.1,40,0,347.54583,0.25464
16-12-31 5時,1018.2,1021,22.2,15.8,67,4.7,60,14.6,70,0,347.92083,0.25496
16-12-31 6時,1018.5,1021.3,22.3,15.8,67,6.1,60,13.7,70,0,348.29792,0.25528
16-12-31 7時,1018.8,1021.6,22.3,16,68,5.4,50,12.6,50,0,348.67917,0.25560
16-12-31 8時,1019.5,1022.3,22.8,16.9,69,6,60,16.6,80,0.29,349.08958,0.25592
16-12-31 9時,1019.8,1022.6,23.5,17.3,68,5,60,13.7,60,0.62,349.52292,0.25624
16-12-31 10時,1020.1,1022.9,24,17.2,66,5.4,50,15.6,60,1.62,349.96458,0.25656
16-12-31 11時,1020.1,1022.9,24.3,17.7,67,5.5,50,14.6,70,2.02,350.42292,0.25688
16-12-31 12時,1019.2,1022,26.3,17.8,60,4.8,40,11.3,40,2.1,350.92500,0.25720
16-12-31 13時,1018.4,1021.2,25.5,16.8,59,5,40,12.8,10,2.32,351.38958,0.25752
16-12-31 14時,1017.4,1020.2,25.7,17.1,59,3.1,60,10.1,60,1.43,351.86458,0.25784
16-12-31 15時,1017.1,1019.9,25.2,17,60,3.7,50,9.6,80,1.41,352.32708,0.25816
16-12-31 16時,1017,1019.8,24.6,16.7,61,4.7,70,10.4,80,0.93,352.77083,0.25848
16-12-31 17時,1017.5,1020.3,24,16.5,63,2.4,50,12.5,70,0.23,353.19792,0.25880
16-12-31 18時,1018.1,1020.9,23.7,16,62,2.4,10,9,40,0.07,353.60833,0.25912
16-12-31 19時,1018.7,1021.5,23.6,16.6,65,1.4,340,5.5,30,0,354.02917,0.25944
16-12-31 20時,1019.3,1022.1,23.5,16.2,64,2.7,20,7.4,70,0,354.43958,0.25976
16-12-31 21時,1019.2,1022,23.6,16.7,65,3,30,11.1,360,0,354.86250,0.26008
16-12-31 22時,1019.1,1021.9,23.3,17.6,70,2.6,20,12.3,70,0,355.29792,0.26040
16-12-31 23時,1019.1,1021.9,23.3,17.8,71,3.7,30,10.3,360,0,355.73750,0.26072
17-1-1 0時,1019.2,1022,23.1,17.8,72,3.3,20,11.2,40,0,356.17292,0.26104
17-1-1 1時,1018.7,1021.5,23,17.5,71,3.9,40,12.9,20,0,356.60000,0.26136
17-1-1 2時,1018.3,1021.1,22.9,17.4,71,3.8,40,12.3,70,0,357.02292,0.26168
17-1-1 3時,1017.5,1020.3,22.6,17.2,72,5.5,40,12.5,20,0,357.43542,0.26200
17-1-1 4時,1017.2,1020,22.5,16.7,70,6.1,50,13.8,50,0,357.83542,0.26232
17-1-1 5時,1017.6,1020.4,22.6,16.1,67,4.6,40,13.1,50,0,358.22500,0.26264
17-1-1 6時,1018.1,1020.9,22.6,16.4,68,5.5,50,14.1,30,0,358.62083,0.26296
17-1-1 7時,1018.7,1021.5,22.8,16.1,66,5.5,50,14,70,0,359.01458,0.26328
17-1-1 8時,1019.1,1021.9,23.4,17.1,68,6.6,40,15.7,50,0.3,359.44167,0.26360
17-1-1 9時,1019.7,1022.5,24.5,17.8,66,6.7,50,16.8,40,1.01,359.90625,0.26392
17-1-1 10時,1019.6,1022.4,24.6,17.7,65,5.7,50,15.7,40,1.64,360.37083,0.26424
17-1-1 11時,1019.1,1021.9,24.7,17.3,63,6,50,16.7,50,2.17,360.82917,0.26456
17-1-1 12時,1018,1020.8,26.1,17.2,58,5.2,50,16.4,50,2.4,361.31458,0.26488
17-1-1 13時,1016.9,1019.7,25.7,17.6,61,5.9,50,14.8,60,2.4,361.80000,0.26520
17-1-1 14時,1016.2,1019,26,17.7,60,3.9,40,15.1,50,2.11,362.29375,0.26551
17-1-1 15時,1016.2,1019,25.9,17.4,59,3.9,40,11.7,40,1.6,362.77917,0.26583
17-1-1 16時,1016.4,1019.2,24.7,17.4,64,4.1,70,9.4,80,0.97,363.23958,0.26615
17-1-1 17時,1017,1019.8,24,17.5,67,2.5,50,8.4,100,0.31,363.68750,0.26647
17-1-1 18時,1017.1,1019.9,24.1,15,57,2.7,50,6.1,50,0,364.08542,0.26679
17-1-1 19時,1017.7,1020.5,23.3,16.5,66,2.6,30,7.9,90,0,364.49792,0.26711
17-1-1 20時,1017.3,1020.1,23.3,16.8,67,5.2,50,10.7,40,0,364.91667,0.26743
17-1-1 21時,1017.7,1020.5,23.5,16.9,66,6.3,50,14.4,70,0,365.34167,0.26775
17-1-1 22時,1018,1020.8,23.6,16.5,64,5.1,30,13.3,30,0,365.76042,0.26807
17-1-1 23時,1017.8,1020.6,23.4,16.5,65,3.9,40,8.8,20,0,366.17500,0.26839
17-1-2 0時,1017.5,1020.3,22.7,16.8,69,1.9,70,9.9,50,0,366.58125,0.26871
17-1-2 1時,1017.1,1019.9,23.4,16.8,66,5.2,50,15.9,50,0,367.00208,0.26903
17-1-2 2時,1017,1019.8,23,16.6,67,3.9,30,10.7,20,0,367.41042,0.26935
17-1-2 3時,1016.7,1019.5,23.2,16.6,66,3.7,40,9.7,30,0,367.82292,0.26967
17-1-2 4時,1016.6,1019.4,22.4,16.1,68,0.8,310,11.5,60,0,368.20833,0.26999
17-1-2 5時,1016.9,1019.7,22.4,16.2,68,1.4,340,4.3,330,0,368.59583,0.27031
17-1-2 6時,1017.1,1019.9,22.1,16.5,71,1.7,360,5.4,340,0,368.98333,0.27063
17-1-2 7時,1017.3,1020.1,23.4,16.5,65,3.6,50,8.7,20,0,369.39792,0.27095
17-1-2 8時,1017.9,1020.7,24.4,16.8,63,5.2,30,10.6,20,0.32,369.83958,0.27127
17-1-2 9時,1018.6,1021.4,25.4,16.6,58,3.6,30,9.5,30,0.99,370.29792,0.27159
17-1-2 10時,1018.3,1021.1,26.8,17.2,56,2.8,30,8.7,20,1.63,370.79792,0.27191
17-1-2 11時,1017.8,1020.6,26.9,17.5,56,4.2,20,9.6,30,2.06,371.30625,0.27223
17-1-2 12時,1016.8,1019.6,27,17,54,3,40,9.1,20,2.22,371.80625,0.27255
17-1-2 13時,1015.8,1018.6,27.5,17.2,53,4.1,40,9.1,50,2.4,372.32083,0.27287
17-1-2 14時,1015.2,1018,27.4,16.3,51,3.4,30,8.1,20,2.08,372.81458,0.27319
17-1-2 15時,1014.7,1017.5,27.1,17,54,3.5,50,8.6,70,1.6,373.31667,0.27351
17-1-2 16時,1015,1017.8,26.1,17.5,59,2.8,70,8.5,80,1,373.80833,0.27383
17-1-2 17時,1015.4,1018.2,24.9,17.6,64,2.7,60,8,80,0.33,374.27708,0.27415
17-1-2 18時,1015.9,1018.7,24.2,18.5,71,2.1,70,6,70,0,374.75000,0.27447
17-1-2 19時,1016.4,1019.2,24.1,17.7,67,2.7,60,5.9,80,0,375.20417,0.27479
17-1-2 20時,1017,1019.8,24,17.5,67,2.7,60,6.3,40,0,375.65208,0.27511
17-1-2 21時,1017,1019.8,24,17.8,68,5.2,70,11.9,70,0,376.10625,0.27543
17-1-2 22時,1017.1,1019.9,23.8,18.1,70,3.7,70,9.4,30,0,376.56250,0.27575
17-1-2 23時,1016.9,1019.7,23.8,18.3,71,2.9,50,7.4,70,0,377.02292,0.27607
17-1-3 0時,1017,1019.8,23.9,18.6,72,3.3,70,8.3,70,0,377.49167,0.27639
17-1-3 1時,1016.6,1019.4,23.9,18.4,71,3.3,70,9.6,80,0,377.95625,0.27671
17-1-3 2時,1016.4,1019.2,23.9,18.3,71,5.3,60,11.7,80,0,378.41875,0.27703
17-1-3 3時,1015.7,1018.5,23.9,16.8,64,5.2,60,11.2,70,0,378.85000,0.27735
17-1-3 4時,1015.7,1018.5,23.8,17.3,67,3.9,40,11.9,60,0,379.28958,0.27767
17-1-3 5時,1016.1,1018.9,23.8,18.3,71,3.1,50,10.1,60,0,379.75000,0.27799
17-1-3 6時,1016.5,1019.3,23.5,18.5,74,4.4,50,9.9,40,0,380.20833,0.27831
17-1-3 7時,1017.2,1020,23.7,18.4,72,3.5,40,8.9,80,0,380.66875,0.27863
17-1-3 8時,1017.6,1020.4,24.4,19,72,1.9,60,5.8,60,0.27,381.15625,0.27895
17-1-3 9時,1017.8,1020.6,25.3,18.7,67,2.9,50,8.8,80,0.55,381.65625,0.27927
17-1-3 10時,1018,1020.8,25.2,18.3,66,4.2,40,11.3,70,1.19,382.14583,0.27959
17-1-3 11時,1017.2,1020,27,18.9,61,3.7,70,8.7,20,1.93,382.68542,0.27991
17-1-3 12時,1016.4,1019.2,26.6,17.5,57,5.1,60,12.2,30,2.13,383.18750,0.28023
17-1-3 13時,1015.4,1018.2,26.9,18.5,60,4.4,70,10.4,50,2.16,383.71667,0.28055
17-1-3 14時,1014.7,1017.5,27.1,18,58,4.7,70,10.7,60,2.09,384.23958,0.28087
17-1-3 15時,1014.7,1017.5,26.5,17.7,58,4.6,70,10.6,90,1.73,384.74375,0.28119
17-1-3 16時,1014.7,1017.5,25.5,18.1,64,4.4,80,11.6,100,0.94,385.23542,0.28151
17-1-3 17時,1015.1,1017.9,24.9,18.3,67,3.4,60,9.3,70,0.3,385.71875,0.28183
17-1-3 18時,1015.8,1018.6,24.3,18,68,3.7,70,8,80,0,386.18333,0.28215
17-1-3 19時,1016.2,1019,24.2,17.6,67,3.3,50,8.7,90,0,386.63750,0.28247
17-1-3 20時,1016.6,1019.4,24,17.8,68,2.5,50,7.1,60,0,387.09167,0.28279
17-1-3 21時,1016.7,1019.5,24,18.2,70,2.4,50,7.2,20,0,387.55417,0.28311
17-1-3 22時,1016.8,1019.6,24.1,18,69,2.7,40,6.9,40,0,388.01458,0.28343
17-1-3 23時,1016.1,1018.9,23.8,18.1,70,2,30,8.6,40,0,388.47083,0.28375
17-1-4 0時,1015.7,1018.5,23.8,17.8,69,4.2,40,10.1,40,0,388.92083,0.28407
17-1-4 1時,1015.6,1018.4,23.8,17.9,70,2.8,20,8.5,60,0,389.37292,0.28439
17-1-4 2時,1015.5,1018.3,23.7,17.9,70,3.6,30,10.2,30,0,389.82292,0.28471
17-1-4 3時,1015,1017.8,23.6,17.8,70,3.5,40,7.6,20,0,390.26875,0.28503
17-1-4 4時,1014.7,1017.5,23.4,18.2,73,1.9,50,6.4,20,0,390.71875,0.28535
17-1-4 5時,1014.9,1017.7,23.6,18,71,4.8,60,10.6,70,0,391.16875,0.28567
17-1-4 6時,1015.6,1018.4,23.4,18,72,4.1,40,10.2,70,0,391.61458,0.28599
17-1-4 7時,1016,1018.8,23.2,18.1,73,2.8,40,9.1,20,0,392.05833,0.28631
17-1-4 8時,1016.8,1019.6,23.6,18.4,73,3.4,70,7.2,70,0,392.51667,0.28663
17-1-4 9時,1017.1,1019.9,24.4,18.8,71,4,30,10.2,60,0.76,393.00000,0.28695
17-1-4 10時,1017,1019.8,24.8,18.8,69,3.9,40,9.8,50,0.9,393.49167,0.28727
17-1-4 11時,1016.4,1019.2,25.4,19,68,3.5,30,9.1,60,1.59,394.00000,0.28759
17-1-4 12時,1015.3,1018.1,26.8,19.3,64,3.4,40,8.1,10,1.99,394.54375,0.28791
17-1-4 13時,1014.3,1017.1,26.2,18.8,64,3.5,40,8.4,30,1.9,395.06458,0.28823
17-1-4 14時,1013.9,1016.7,25.8,18.6,64,3.6,40,9.2,20,1.24,395.57292,0.28855
17-1-4 15時,1013.3,1016.1,26.2,18.6,63,3.5,60,11.4,30,1.36,396.08958,0.28887
17-1-4 16時,1013.5,1016.3,25.6,18.9,67,4.9,80,10.4,60,0.9,396.60000,0.28919
17-1-4 17時,1013.9,1016.7,24.8,18.5,68,3.6,50,11.5,110,0.21,397.08542,0.28951
17-1-4 18時,1014.2,1017,24.4,18.3,69,3.7,30,9.3,10,0,397.55833,0.28983
17-1-4 19時,1015.1,1017.9,24.3,18.6,71,2.1,60,8.9,50,0,398.03542,0.29015
17-1-4 20時,1015.4,1018.2,24.2,18.6,71,3.7,70,7.6,70,0,398.51042,0.29047
17-1-4 21時,1015.3,1018.1,24.4,18.8,71,3.6,40,9.6,80,0,398.99375,0.29079
17-1-4 22時,1015,1017.8,24,18.3,70,1.8,60,9.7,360,0,399.45833,0.29111
17-1-4 23時,1014.8,1017.6,24.1,18.5,71,2.4,60,8.5,40,0,399.92917,0.29143
17-1-5 0時,1014.6,1017.4,24,18.7,72,2.4,60,9.5,110,0,400.40208,0.29175
17-1-5 1時,1014.6,1017.4,23.7,18.6,73,2.2,60,8.5,60,0,400.86667,0.29207
17-1-5 2時,1014.6,1017.4,23.8,18.5,72,1.4,50,5.3,50,0,401.33125,0.29239
17-1-5 3時,1014.3,1017.1,23.7,18.5,73,2.2,60,4.8,130,0,401.79375,0.29271
17-1-5 4時,1014.1,1016.9,23.6,18,71,2.3,60,6,50,0,402.24375,0.29303
17-1-5 5時,1014.1,1016.9,23.4,18.8,75,1.7,60,5.8,40,0,402.70625,0.29335
17-1-5 6時,1014.6,1017.4,23.5,18.7,74,2.8,90,6.8,80,0,403.16875,0.29367
17-1-5 7時,1014.7,1017.5,23.7,18.2,71,1.8,90,6.1,80,0,403.62500,0.29399
17-1-5 8時,1014.8,1017.6,24.6,18.9,71,1.6,90,5.3,60,0.29,404.11458,0.29431
17-1-5 9時,1015,1017.8,25.5,19.4,69,3.9,70,7.9,110,0.97,404.63333,0.29463
